drug_name,is_exclusion
hemafer folcp a croquer,True
hemogen l,True
hemoplasmin,True
hemorex,False
hemorex kit,False
heparine calcique,False
hepazyme,True
hexaspray,False
hexaxim,False
hexaxim vaccin,False
hexidine,True
hexidine de,True
hexigel,False
hexomedine,True
hextril de,True
histagan,False
histagan srp,False
hosto,True
huile d'amande douce,True
huile de paraffine,True
huile de parafine,True
huile gomenolee,True
huile lavande ducray,True
huile lavante dexyane,True
huile lavante neutraderm relipid,True
huile lavante neutraderm relipidant,True
humex collutoire,False
humex mal de gorge,False
humex miel citron,True
humex pastilles,False
hydratec,False
hydravit,False
hydrocortisone,False
hyfresch ou polyfresch,False
hyfresh,False
hyfresh cole,False
hyfresh colllyre,False
hypafix,True
hypafix moyen,True
hypafix pm,True
hyperium,False
i dol rapide,False
i frais,False
ibex,False
ibumol,False
ibumol comps,False
ibumol coprimes,False
ibuprof,False
ibuprofen,False
ibuprofen gh ibuprofene,False
ibuprofene gh,False
ibuprofene vir,False
iclof,False
ictyane eclat,True
icyane hd,True
ideos,True
idol,False
idol supo,False
idol supp,False
ilax,True
ilax e,False
imenor,False
imenor ou imeth,False
immard,False
immodium,False
immun active,True
immun active denk,True
immunoplex n,False
immunorho,True
imodium,False
imox,False
imurel,False
indapril,False
indocinex,False
indocollyre,False
inexium,False
inofer,True
inovair,False
instaclop,False
intimy lubrifiant,True
intra nul rose,True
iohexol,False
ioprost,False
ipozole,False
ipproton,False
irex,True
isolone,False
isone,False
isoptine,False
ixine,False
iz,False
izalga,False
izalgi,False
jersey metre,True
jour yafa,True
joyclav,False
juva boost,True
juvamine,True
juvamine 11 vitamines +7 mineraux,True
juvamine 11 vitamines +9 mineraux,True
juvamine 12 vitamines +9 mineraux,True
juvamine action minceur 4 en 1,True
juvamine aide transit rhubarbe,True
juvamine appetit tonus,True
juvamine boost,True
juvamine booster,True
juvamine c,True
juvamine curcuma chondroitine glucosamine,True
juvamine fizz mag+vit b2 b6 b1,True
juvamine fizz vitamine c vitamine d calcium,True
juvamine ginseng tonus,True
juvamine gold,True
juvamine gold vit c,True
juvamine kids,True
juvamine magnesium,True
juvamine melatonine,True
juvamine melatonine passiflore,True
juvamine multiv,True
juvamine multivit,True
juvamine taurine,True
juvamine tonus,True
juvamine vit c,True
kaleorid,False
kazol,False
kcl,False
kefotax,False
kelo cote,True
keozol,False
keracnyl moussant,True
keracnyl uv,True
ketesse,False
ketoderm,False
ketoderm moussant,False
ketoderm shampoing,False
ketoflex,False
ketonal,False
ketonex,False
ketoprofen,False
ketoprofen gh,False
ketoprofene,False
ketoprofene gd,False
ketoprofene gh,False
ketum,False
ketum loc t dose,False
kid soulag doux,True
kidoo,True
kinafon,False
kinal,False
kinal codeine,False
kit dentaire,True
kit exerese,True
kit perf,True
kit perf seringue cc,True
kit perfalgan trabar,True
kit perfuseur,True
kit perfuseur serigue,True
kit sro zinc,True
klipal,False
klipal codeine,False
kof clean,False
l mesitran,True
lacoma,False
lacoma t,False
lacteol,False
lacteol pdre p en dose,False
lactiv,True
lactive,True
lactoex,True
laino,True
lamaline,False
lame bistouri,True
lamisil,False
lamotrigine,False
lamotrigine arrow,False
lansinoh,True
lantus,False
lantus solostar,False
lantus u,False
largactil,True
laridox,False
larmabak,False
larmes,False
larmes opht,False
laroscorbine,True
laroxyl,True
lasilix,False
latano,False
latanocom,False
lavage,False
leeloo continu,True
lemonex,False
leos,False
lerin,False
lesstrol,False
letrozole,True
leutrien,False
levemir,False
levobact,False
levofloxacine,False
levonox,False
levophta,False
levophta colllyre,False
levothyrox,False
levotop,False
lexomil,True
libido lady denk,True
libido women,True
lidene,True
lioresal,False
lipanthyl,True
lipikar,True
lipikar ap baume,True
lipikar ap m baume,True
lipikar ap u baume,True
lipikar baume,True
lipikar baume ap m,True
lipikar huile lavante,True
lipikar pain,True
lipikar savon,True
lipikar u baume,True
lipikar urea,True
liposic,False
liposic opht,False
liposic ophtalmique,False
liposic pmd,False
lirapyn,False
litacold,False
litacold bame,False
litacold baume,False
litacold baume bebe,False
litacold bbaume,False
litacold douleur,False
litacold j et n,False
